Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level,Grades
5.993428306022466,0.8215052695127782,7.3482862476668185,0.0,0.622513961358879,Low,1
4.72347139765763,1.194500536946347,7.283323592535666,0.41752152959469213,1.8101619768124801,Moderate,0
6.295377076201385,0.9026189389548571,6.063480154194509,1.119457390561121,0.8414505221581456,High,0
8.046059712816051,1.6104180469461196,7.579584221763739,2.224503366387037,1.0724554117741116,High,0
4.531693250553328,2.6971785314619128,5.509917324423382,3.5362434899103175,1.573912485310174,Low,1
4.531726086101639,0.7289578428587954,6.345815674239671,3.041203915057647,0.9528292745208475,Low,1
8.158425631014783,2.500820497768414,5.000912187102192,0.23101280232877164,0.0,Low,1
6.534869458305818,0.7183279276531124,8.558626516962814,1.4424316067515215,1.832470003642838,High,0
4.061051228130096,0.6523727875031158,6.768450506054704,2.11456338305385,2.0039430639320415,Low,1
6.085120087171929,2.318594618343213,9.166884034816311,1.606689313330251,0.0,Low,1
4.0731646143750755,2.421936378007617,7.802949926519495,1.5960571611975585,0.16536703547076959,Low,1
4.068540492859486,2.3514099367626544,7.448098213351025,0.0,2.619103693988409,High,0
5.483924543132068,0.18420259178185883,6.413772305719001,0.27089877329053924,1.1856277428031294,Moderate,0
1.1734395106844042,1.0340490219279492,5.95364996431258,1.3955902262910902,1.002841018616292,Moderate,0
1.5501643349739345,2.3229885920033215,7.522971573896945,0.0,0.6588932743603437,Moderate,0
3.8754249415180544,1.5415418405638945,6.928485990727018,2.9609664800147817,0.17543787931469246,Moderate,0
2.9743377593311524,0.4263071538025358,5.660729684514699,0.0,0.8444658861548932,Moderate,0
5.628494665190548,1.9583179391254417,5.4831415834916815,3.030257199897707,1.779538191332569,Low,1
3.1839518489575784,0.7851927410085295,6.041296270856416,2.898374006706365,0.9874576324952006,Moderate,0
2.175392597329417,3.294524848392212,8.82096722526623,1.1844604353314234,1.4882272687144384,Moderate,0
7.931297537843108,3.0448414624182583,9.213277918011304,3.5008224885523065,2.4125657188052507,Moderate,1
4.548447399026928,2.104097426355567,7.204989147308909,3.1147960173873996,0.5356174556430456,Low,1
5.1350564093758475,2.861006704769774,7.148942796241289,1.536557793748039,1.2422999205267535,Low,1
2.1505036275730864,1.564791350123381,6.663679628170479,1.3673605772124524,1.8035148487485424,High,0
3.9112345509496347,2.265437494375016,6.065514651690497,3.645849178496535,0.2536770932267226,Moderate,0
5.2218451794197325,2.977720295302075,8.375179057607244,2.3480207591114963,1.1424422624526438,Moderate,0
2.6980128451553944,1.7454986817943128,8.873576393897135,3.5670457525522137,2.4978596197010887,Moderate,0
5.751396036691344,1.2448128284857163,6.106580914160714,0.0,0.7277996956321475,Low,1
3.79872262016239,0.0,6.917161621575398,2.1477276455291934,1.8546772304030317,Low,0
4.416612500413446,1.416866474278506,6.550133699289832,0.0,0.8870904982321824,Moderate,0
3.796586775541206,2.3234231845623112,6.579760925135023,1.9613172387698552,2.4396696138535923,Moderate,0
